1,new sorting/export preferences,this will add a new  file sorting  tab to the preferences that allows to exactly specify the sort and export order of entries  rather than the rather limited set of choices that were available to date.,Util,IO
5,mock serialization/deserialization across classloader/jvm,this pull request will enable mocks to be serialized in a certain way  that will allow them to be serialized and especially deserialized outside the classloader the mock was created.  at the moment it s enabled automatically when using  withsettings().serializable() .  it still require to have mockito on the classpath of the jvm classloader where it is deserialized.,Util,IO
106,null support,add isnull(field) to tuplereadable null is stored in a bit vector at the head of the tuple aggregates (except) count skip null values,IO,Util
108,extract model package with core data classes,this pull request extracts the most central data classes from the root package and puts them into a separate model package. it was possible to remove all gui dependencies from these classes.  additionally  all classes in the model package are refactored and adjusted to java 8 syntax.,i18n,Util,IO
113,improved exception handling of additionalanswers#delegatesto,when using the additionalanswers#delegatesto method  exceptions thrown by the delegate are wrapped in invocationtargetexception due to invocation via method. instead  the original exception from the delegate should be propagated to the caller.,Util,IO
120,fixing javadocs,- added correct links to external images - cleaned up some of the text - improved some function memoization that was missed,Interpreter,Util,IO
129,code cleanup,cleaned up some warnings highlighted by intellij idea,Util,i18n,IO
137,unify and simplify gui actions,- using lambdas for the simpler actions - some code cleanup - extract string commands as string constants to actions.java and use the constants in jabrefframe  basepanel and rightclickmenu - use the constants already defined in keybinds to get keystrokes for the actions (in jabrefframe  basepanel  entryeditor and rightclickmenu) - 8e3ad9d: remove quickfix for [sf.net bug #1277]( and implement feature properly: instead of deactivating  show/hide toolbar  when no database is open  the action has been move to jabrefframe and works now even if no database is open.  see also #136,Util,IO
147,remove option to set custom icon theme,the setting of a custom icon theme is not available in the gui. because of this  i removed it.   what is changed: - no support for custom icon themes anymore - a smaller guiglobals class - more explicit referencing of icons - less setup logic that is required to be called explicitly - when no icon is available  the default one (red.png at the moment) will be used. this allows to detect icon errors -> see below - less code  uncovered issues through this change: - the action openfolder is used in the icon bar  but as it had no icon  it was never displayed to the user. this is now marked explicitly in red  allowing us developers to fix this.  i am open for feedback.,IO,Util
157,implemented single and singleordefault,for issue #77.,Util,IO
159,implemented lastordefault operator,for issue #58,Util,IO
160,manual merge of mairbek/single pull #157,merging  which had conflicts and needed a manual merge.,IO,Util
165,timestamp is not displayed by defaut,as discussed in #164 the timestamp column shouldn t be displayed by default.,Util,IO
176,make propertyandsetterinjection field sorting consistent,#155 is caused by calling  collections.sort  with a comparator that isn t always transitive  as in the case where sorting by name and sorting by type hierarchy imply different orders.  for example  with fields of type  [iterable  integer  number]   it gives  iterable == integer  and  iterable == number   but also an inconsistent  integer < number .  i m not sure it s possible to sort consistently with a stateless  comparator   so this change switches to a  sortsupertypeslast  method that first sorts by name and then shuffles any subclasses to after their superclasses. it s slower  but should be deterministic. the existing tests are preserved by leaving behind a dummy  comparator  that uses the new sort method. new tests make sure that the sorted ordering doesn t depend on the original order.  155.,IO
178,auto detect user language #177,jabref now uses the system locale as default with this pr.  i simplified some methods in the process and implemented a fallback to  en  when there is no bundle for the default locale.  any suggestions?,IO,Util
182,bookkeeping,rewrite bookkeeping objects to be correct and thread safe added stage abstraction add more stats and cleanup stats collection record exceptions in info objects and propagate to client add multiline progress to console,Util,IO
184,convert  last  from non-blocking to blocking to match rx.net,merging pull request  which needed manual merging.  did some other cleanup while in there and added a missing generic  object  override.  thank you @mairbek for doing this work.,IO,Util
187,fix linebreaking,evaluating the usage and problems of #114. what is fieldcontentparser really doing? what is jabref style formatting?,IO,Util
189,handful of improvements,some improvements made while reviewing code. - add error handling to videoexample.groovy so it s a better representation of how onerror is used - handle errors from func1 failures when subscribe happens - handle null subscriptions on  trusted  functions  not just untrusted,IO,Util
